title,address_trip,new_column_merged,address_clean_merged,Index,new_column_google,price_level_google,rating_google,total_reviews_google,address,address_clean_google
,,,,4929,Punto pizza,,4.5,61.0,"Via delle Betulle, 32/A, Milano","via delle betulle, 32/a, milano"
,,,,4943,Cascina Corba,3.0,4.0,520.0,"Via dei Gigli, 14, Milano","via dei gigli, 14, milano"
,,,,4944,Denzel sweet bakery,2.0,4.5,51.0,"Via Luigi Soderini, 55, Milano","via luigi soderini, 55, milano"
,,,,4949,Pizzikotto,2.0,4.0,933.0,"Via Rosa Vergani Marelli, 1, Milano","via rosa vergani marelli, 1, milano"
,,,,4952,Lab café,2.0,4.4,290.0,"Via Luigi Scrosati, 9, Milano","via luigi scrosati, 9, milano"
,,,,4980,La Bottega dei Pasticci,2.0,4.2,255.0,"Via Pietro Redaelli, 1, Milano","via pietro redaelli, 1, milano"
,,,,4982,La pinsa,,3.8,8.0,"Via Lorenteggio, 57, Milano","via lorenteggio, 57, milano"
,,,,4985,La Darsena,1.0,4.0,153.0,"Via Lorenteggio, 47, Milano","via lorenteggio, 47, milano"
,,,,4989,Long Yuan,1.0,4.3,158.0,"Via Lorenteggio, 43, Milano","via lorenteggio, 43, milano"
,,,,4990,Qiu Haibin,,3.5,2.0,"Via Lorenteggio, 43, Milano","via lorenteggio, 43, milano"
,,,,4997,Guido Del Re,,,,"Via Tito Vignoli, 42, Milano","via tito vignoli, 42, milano"
,,,,5012,Tu mi fai girar,,5.0,58.0,"Via Vespri Siciliani, 30, Milano","via vespri siciliani, 30, milano"
,,,,5013,Kiosko sushi and more,,4.7,103.0,"Via Leone Tolstoi, 45, Milano","via leone tolstoi, 45, milano"
,,,,5014,Amo,,,,"Via Leone Tolstoi, 47/33, Milano","via leone tolstoi, 47/33, milano"
,,,,5016,Gastronomia Cinese,,,,"Via Leone Tolstoi, 53, Milano","via leone tolstoi, 53, milano"
,,,,5017,China Espress,,5.0,1.0,"Via Leone Tolstoi, 53, Milano","via leone tolstoi, 53, milano"
,,,,5020,Moon Light 92,2.0,4.1,473.0,"Via Tolstoi Leone, 48, Milano","via tolstoi leone, 48, milano"
,,,,5023,Il tempio del gusto,1.0,4.1,239.0,"Via Vespri Siciliani, 16, Milano","via vespri siciliani, 16, milano"
,,,,5027,Ristorante Pizzeria Hobby,1.0,4.2,464.0,"Via Leone Tolstoi, 22, Milano","via leone tolstoi, 22, milano"
,,,,5037,Different Burger,2.0,3.8,406.0,"Via Giambellino, 12, Milano","via giambellino, 12, milano"
